fixture_id,name,halftime,minute,Successful.Passes_home,Successful.Passes_away,Ball.Possession_home,Ball.Possession_away,Goals_home,Goals_away,Attacks_home,Attacks_away,Yellowcards_home,Yellowcards_away,Redcards_home,Redcards_away,Penalties_home,Penalties_away
19134453,Manchester United vs Fulham,2nd-half,86,367,256,56,44,0,0,103,75,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,87,367,256,56,44,0,0,103,80,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,88,373,275,55,45,1,0,104,80,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,89,379,275,56,44,1,0,104,80,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,90,379,275,56,44,1,0,104,83,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,91,379,292,55,45,1,0,104,83,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,92,379,292,55,45,1,0,104,85,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,93,379,292,55,45,1,0,109,87,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,94,389,298,55,45,1,0,109,89,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,95,399,299,55,45,1,0,110,91,2,3,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,1,0,7,0,100,0,0,0,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,2,2,11,18,82,0,0,1,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,3,2,16,22,78,0,0,1,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,4,2,16,22,78,0,0,3,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,5,8,19,38,62,0,0,4,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,6,8,33,29,71,0,0,4,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,7,9,33,28,72,0,0,5,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,8,9,39,25,75,0,0,5,2,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,9,9,43,26,74,0,0,6,6,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,10,9,43,26,74,0,0,6,6,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,11,9,46,24,76,0,0,7,8,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,12,14,53,28,72,0,0,7,11,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,13,15,67,25,75,0,0,9,13,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,14,17,73,25,75,0,0,9,14,0,0,0,0,0,0
19155076,Parma vs Fiorentina,1st-half,15,17,73,25,75,0,0,9,14,0,0,0,0,0,0
